Discipline	Gender	Event	order	ENG Description	FRA Description	Team Event
SW	W	031	8	Women's 100m Breaststroke	100 m brasse - femmes	N
SW	W	032	9	Women's 200m Breaststroke	200 m brasse - femmes	N
SW	W	041	6	Women's 100m Backstroke	100 m dos - femmes	N
SW	W	042	7	Women's 200m Backstroke	200 m dos - femmes	N
SW	W	052	12	Women's 200m Individual Medley	200 m 4 nages individuel - femmes	N
SW	W	054	13	Women's 400m Individual Medley	400 m 4 nages individuel - femmes	N
SW	W	119	17	Women's 10km Marathon	Marathon 10 km - femmes	N
SW	W	411	14	Women's 4x100m Freestyle Relay	Relais 4x100 m nage libre - femmes	Y
SW	W	412	15	Women's 4x200m Freestyle Relay	Relais 4x200 m nage libre - femmes	Y
SW	W	451	16	Women's 4x100m Medley Relay	Relais 4x100 m 4 nages - femmes	Y
SY	0	000		Synchronised Swimming	Natation synchronisée	
SY	0	AQC		Aquatics Centre	Centre aquatique	
SY	W	201	1	Duets	Duo	Y
SY	W	401	2	Teams	Épreuve par équipes	Y
TE	0	000		Tennis	Tennis	
TE	0	WIM		Wimbledon	Wimbledon	
TE	M	000		Men	Hommes	
TE	M	001	1	Men's Singles	Simple hommes	
TE	M	002	3	Men's Doubles	Double hommes	
TE	W	000		Women	Femmes	
TE	W	001	2	Women's Singles	Simple femmes	
TE	W	002	4	Women's Doubles	Double femmes	
TE	X	002	5	Mixed Doubles	Double mixte	
TK	0	000		Taekwondo	Taekwondo	
TK	0	ES1		ExCeL - South Arena 1	ExCeL - South Arena 1	
TK	M	000		Taekwondo - Men	Taekwondo - hommes	
TK	M	058	1	Men -58kg	-58 kg - hommes	N
TK	M	068	2	Men -68kg	-68 kg - hommes	N
TK	M	080	3	Men -80kg	-80 kg - hommes	N
TK	M	180	4	Men +80kg	+80 kg - hommes	N
TK	W	000		Taekwondo - Women	Taekwondo - femmes	
TK	W	049	5	Women -49kg	-49 kg - femmes	N
TK	W	057	6	Women -57kg	-57 kg - femmes	N
TK	W	067	7	Women -67kg	-67 kg - femmes	N
TK	W	167	8	Women +67kg	+67 kg - femmes	N
TR	0	000		Triathlon	Triathlon	
TR	0	HYD		Hyde Park	Hyde Park	
TR	M	000		Triathlon - Men	Triathlon - hommes	
TR	M	001	1	Men	Hommes	N
TR	W	000		Triathlon - Women	Triathlon - femmes	
TR	W	001	2	Women	Femmes	N
TT	0	000		Table Tennis	Tennis de table	
TT	0	001		Table Tennis Singles	Tennis de table, simple	
TT	0	400		Table Tennis Teams	Tennis de table, par équipes	N
TT	0	EN1		ExCeL - North Arena 1	ExCeL - North Arena 1	
TT	M	000		Men	Hommes	
TT	M	001	4	Men's Singles	Simple hommes	N
TT	M	400	2	Men's Team	Par équipes hommes	Y
TT	W	000		Women	Femmes	
TT	W	001	3	Women's Singles	Simple femmes	N
TT	W	400	1	Women's Team	Par équipes femmes	Y
UT	0	ART		Archery Training	Entraînement de tir a l'arc	
UT	0	ATT		Athletics Training	Entraînement d'athlétisme	
UT	0	BDT		Badminton Training	Entraînement de badminton	
UT	0	BKT		Basketball Training	Entraînement de basketball	
UT	0	BVT		Beach Volleyball Training	Entraînement de volleyball de plage	
UT	0	BXT		Boxing Training	Entraînement de boxe	
UT	0	CBT		Cycling BMX Training	Entraînement de BMX	
UT	0	CFT		CF Training	Entraînement de canoë-kayak, ligne	
UT	0	CMT		CM Bike Training	Entraînement de Cyclisme Mountainbike	
UT	0	CRT		Cycling Road Training	Entraînement de cyclisme sur route	
UT	0	CST		Canoe Slalom Racing Training	Entraînement de canoë-kayak, slalom	
UT	0	CTT		Cycling Track Training	Entraînement de cyclisme sur piste	
UT	0	DVT		Diving Training	Entraînement de plongeon	
UT	0	EQT		Equestrian Training	Entraînement de sports équestres	
UT	0	FBT		Football Training	Entraînement de football	
UT	0	FET		Fencing Training	Entraînement d'escrime	
UT	0	GAT		Gymnastics Artistic Training	Entraînement de gymnastique artistique	
UT	0	GRT		Gymnastics Rhythmic Training	Entraînement de gymnastique rythmique	
UT	0	GTT		GT Training	Entraînement de trampoline	
UT	0	HBT		Handball Training	Entraînement de handball	
UT	0	HOT		Hockey Training	Entraînement de hockey	
UT	0	JUT		Judo Training	Entraînement de judo	
UT	0	MPT		Modern Pentathlon Training	Entraînement de pentathlon moderne	
UT	0	ROT		Rowing Training	Entraînement d'aviron	
UT	0	SAT		Sailing Training	Entraînement de voile	
UT	0	SHT		Shooting Training	Entraînement de tir	
UT	0	SWT		Swimming Training	Entraînement de natation	
UT	0	SYT		SY Training	Entraînement de natation synchronisée	
UT	0	TET		Tennis Training	Entraînement de tennis	
UT	0	TKT		Taekwondo Training	Entraînement de taekwondo	
UT	0	TRT		Triathlon Training	Entraînement de triathlon	
UT	0	TTT		Table Tennis Training	Entraînement de tennis de table	
UT	0	VOT		Volleyball Training	Entraînement de volleyball	
UT	0	WLT		Weightlifting Training	Entraînement d'haltérophilie	
UT	0	WPT		Water Polo Training	Entraînement de water-polo	
UT	0	WRT		Wrestling Training	Entraînement de lutte	
VB	0	000		Volleyball Sport	Volleyball	
VO	0	000		Volleyball	Volleyball	
VO	0	EAR		Earls Court	Earls Court	
VO	M	000		Men	Hommes	
VO	M	400	1	Men	Hommes	Y
VO	W	000		Women	Femmes	
VO	W	400	2	Women	Femmes	Y
WL	0	000		Weightlifting	Haltérophilie	
WL	0	ES3		ExCeL - South Arena 3	ExCeL - South Arena 3	
WL	M	000		Men	Hommes	
WL	M	005	7	Men's 105kg	105 kg - hommes	N
WL	M	025	8	Men's +105kg	+105 kg - hommes	N
WL	M	056	1	Men's 56kg	56 kg - hommes	N
WL	M	062	2	Men's 62kg	62 kg - hommes	N
WL	M	069	3	Men's 69kg	69 kg - hommes	N
WL	M	077	4	Men's 77kg	77 kg - hommes	N
WL	M	085	5	Men's 85kg	85 kg - hommes	N
WL	M	094	6	Men's 94kg	94 kg - hommes	N
WL	M	105		Men's 105kg - Snatch	105 kg - hommes, arraché	
WL	M	125		Men's +105kg - Snatch	+105 kg - hommes, arraché	
WL	M	156		Men's 56kg - Snatch	56 kg - hommes, arraché	
WL	M	162		Men's 62kg - Snatch	62 kg - hommes, arraché	
WL	M	169		Men's 69kg - Snatch	69 kg - hommes, arraché	
WL	M	177		Men's 77kg - Snatch	77 kg - hommes, arraché	
WL	M	185		Men's 85kg - Snatch	85 kg - hommes, arraché	
WL	M	194		Men's 94kg - Snatch	94 kg - hommes, arraché	
WL	M	205		Men's 105kg - Clean & Jerk	105 kg - hommes, épaulé-jeté	
WL	M	225		Men's +105kg - Clean & Jerk	+105 kg - hommes, épaulé-jeté	
WL	M	256		Men's 56kg - Clean & Jerk	56 kg - hommes, épaulé-jeté	
WL	M	262		Men's 62kg - Clean & Jerk	62 kg - hommes, épaulé-jeté	
WL	M	269		Men's 69kg - Clean & Jerk	69 kg - hommes, épaulé-jeté	
WL	M	277		Men's 77kg - Clean & Jerk	77 kg - hommes, épaulé-jeté	
WL	M	285		Men's 85kg - Clean & Jerk	85 kg - hommes, épaulé-jeté	
WL	M	294		Men's 94kg - Clean & Jerk	94 kg - hommes, épaulé-jeté	
WL	W	000		Women	Femmes	
WL	W	026	15	Women's +75kg	+75 kg - femmes	N
WL	W	048	9	Women's 48kg	48 kg - femmes	N
WL	W	053	10	Women's 53kg	53 kg - femmes	N
WL	W	058	11	Women's 58kg	58 kg - femmes	N
WL	W	063	12	Women's 63kg	63 kg - femmes	N
WL	W	069	13	Women's 69kg	69 kg - femmes	N
WL	W	075	14	Women's 75kg	75 kg - femmes	N
WL	W	126		Women's +75kg - Snatch	+75 kg - femmes, arraché	
WL	W	148		Women's 48kg - Snatch	48 kg - femmes, arraché	
WL	W	153		Women's 53kg - Snatch	53 kg - femmes, arraché	
WL	W	158		Women's 58kg - Snatch	58 kg - femmes, arraché	
WL	W	163		Women's 63kg - Snatch	63 kg - femmes, arraché	
WL	W	169		Women's 69kg - Snatch	69 kg - femmes, arraché	
WL	W	175		Women's 75kg - Snatch	75 kg - femmes, arraché	
WL	W	226		Women's +75kg - Clean & Jerk	+75 kg - femmes, épaulé-jeté	
WL	W	248		Women's 48kg - Clean & Jerk	48 kg - femmes, épaulé-jeté	
WL	W	253		Women's 53kg - Clean & Jerk	53 kg - femmes, épaulé-jeté	
WL	W	258		Women's 58kg - Clean & Jerk	58 kg - femmes, épaulé-jeté	
WL	W	263		Women's 63kg - Clean & Jerk	63 kg - femmes, épaulé-jeté	
WL	W	269		Women's 69kg - Clean & Jerk	69 kg - femmes, épaulé-jeté	
WL	W	275		Women's 75kg - Clean & Jerk	75 kg - femmes, épaulé-jeté	
WP	0	000		Water Polo	Water-polo	
WP	0	AWP		Water Polo Arena	Pavillon de water-polo	
WP	M	000		Men	Hommes	
WP	M	400	1	Men	Hommes	Y
WP	W	000		Women	Femmes	
WP	W	400	2	Women	Femmes	Y
WR	0	000		Wrestling	Lutte	
WR	0	EN2		ExCeL - North Arena 2	ExCeL - North Arena 2	
WR	M	000		Men	Hommes	
WR	M	100		Men's Greco-Roman	Gréco-romaine - hommes	N
WR	M	155	1	Men's Greco-Roman 55 kg	Gréco-romaine, 55 kg - hommes	N
WR	M	160	2	Men's Greco-Roman 60 kg	Gréco-romaine, 60 kg - hommes	N
WR	M	166	3	Men's Greco-Roman 66 kg	Gréco-romaine, 66 kg - hommes	N
WR	M	174	4	Men's Greco-Roman 74 kg	Gréco-romaine, 74 kg - hommes	N
WR	M	184	5	Men's Greco-Roman 84 kg	Gréco-romaine, 84 kg - hommes	N
WR	M	196	6	Men's Greco-Roman 96 kg	Gréco-romaine, 96 kg - hommes	N
WR	M	199	7	Men's Greco-Roman 120 kg	Gréco-romaine, 120 kg - hommes	N
WR	M	200		Men's Freestyle	Lutte libre - hommes	N
WR	M	255	9	Men's Freestyle 55 kg	Libre, 55 kg - hommes	N
WR	M	260	10	Men's Freestyle 60 kg	Libre, 60 kg - hommes	N
WR	M	266	11	Men's Freestyle 66 kg	Libre, 66 kg - hommes	N
WR	M	274	12	Men's Freestyle 74 kg	Libre, 74 kg - hommes	N
WR	M	284	13	Men's Freestyle 84 kg	Libre, 84 kg - hommes	N
WR	M	296	14	Men's Freestyle 96 kg	Libre, 96 kg - hommes	N
WR	M	299	15	Men's Freestyle 120 kg	Libre, 120 kg - hommes	N
WR	W	000		Women	Femmes	
WR	W	200		Women's Freestyle	Lutte libre - femmes	N
WR	W	248	16	Women's Freestyle 48 kg	Libre, 48 kg - femmes	N
WR	W	255	17	Women's Freestyle 55 kg	Libre, 55 kg - femmes	N
WR	W	263	18	Women's Freestyle 63 kg	Libre, 63 kg - femmes	N
WR	W	272	19	Women's Freestyle 72 kg	Libre, 72 kg - femmes	N
